"year";"plot";"sp";"lambda"
2021;1;"PAIN";67,7801370441923
2015;2;"PAIN";240,906494971402
2016;2;"PAIN";27,2519500004723
2017;2;"PAIN";332,545253854968
2018;2;"PAIN";123,019606266991
2019;2;"PAIN";30,4678951729905
2020;2;"PAIN";68,4838619853913
2021;2;"PAIN";67,7801370441923
2015;3;"PAIN";240,906494971402
2016;3;"PAIN";27,2519500004723
2017;3;"PAIN";332,545253854968
2018;3;"PAIN";123,019606266991
2019;3;"PAIN";30,4678951729905
2020;3;"PAIN";68,4838619853913
2021;3;"PAIN";67,7801370441923
2015;4;"PAIN";240,906494971402
2016;4;"PAIN";27,2519500004723
2017;4;"PAIN";332,545253854968
2018;4;"PAIN";123,019606266991
2019;4;"PAIN";30,4678951729905
2020;4;"PAIN";68,4838619853913
2021;4;"PAIN";67,7801370441923
2015;5;"PAIN";240,906494971402
2016;5;"PAIN";27,2519500004723
2017;5;"PAIN";332,545253854968
2018;5;"PAIN";NA
2019;5;"PAIN";30,4678951729905
2020;5;"PAIN";68,4838619853913
2021;5;"PAIN";67,7801370441923
2015;6;"PAIN";240,906494971402
2016;6;"PAIN";27,2519500004723
2017;6;"PAIN";332,545253854968
2018;6;"PAIN";123,019606266991
2019;6;"PAIN";30,4678951729905
2020;6;"PAIN";68,4838619853913
2021;6;"PAIN";67,7801370441923
2015;7;"PAIN";NA
2016;7;"PAIN";27,2519500004723
2017;7;"PAIN";NA
2018;7;"PAIN";NA
2019;7;"PAIN";30,4678951729905
2020;7;"PAIN";68,4838619853913
2021;7;"PAIN";67,7801370441923
2015;8;"PAIN";NA
2016;8;"PAIN";27,2519500004723
2017;8;"PAIN";NA
2018;8;"PAIN";NA
2019;8;"PAIN";30,4678951729905
2020;8;"PAIN";68,4838619853913
2021;8;"PAIN";67,7801370441923
2015;9;"PAIN";NA
2016;9;"PAIN";27,2519500004723
2017;9;"PAIN";NA
2018;9;"PAIN";NA
2019;9;"PAIN";30,4678951729905
2020;9;"PAIN";68,4838619853913
2021;9;"PAIN";67,7801370441923
2015;1;"PLCO";153,274704919504
2016;1;"PLCO";42,8424012218121
2017;1;"PLCO";41,255938886658
2018;1;"PLCO";NA
2019;1;"PLCO";NA
2020;1;"PLCO";660,210454951192
2021;1;"PLCO";418,704010038293
2015;2;"PLCO";153,274704919504
2016;2;"PLCO";42,8424012218121
2017;2;"PLCO";NA
2018;2;"PLCO";NA
2019;2;"PLCO";NA
2020;2;"PLCO";660,210454951192
2021;2;"PLCO";418,704010038293
2015;3;"PLCO";153,274704919504
2016;3;"PLCO";42,8424012218121
2017;3;"PLCO";41,255938886658
2018;3;"PLCO";NA
2019;3;"PLCO";NA
2020;3;"PLCO";660,210454951192
2021;3;"PLCO";418,704010038293
2015;4;"PLCO";153,274704919504
2016;4;"PLCO";42,8424012218121
2017;4;"PLCO";41,255938886658
2018;4;"PLCO";NA
2019;4;"PLCO";131,568009635947
2020;4;"PLCO";NA
2021;4;"PLCO";418,704010038293
2015;5;"PLCO";153,274704919504
2016;5;"PLCO";42,8424012218121
2017;5;"PLCO";41,255938886658
2018;5;"PLCO";NA
2019;5;"PLCO";NA
2020;5;"PLCO";NA
2021;5;"PLCO";418,704010038293
2015;6;"PLCO";153,274704919504
2016;6;"PLCO";42,8424012218121
2017;6;"PLCO";41,255938886658
2018;6;"PLCO";NA
2019;6;"PLCO";131,568009635947
2020;6;"PLCO";660,210454951192
2021;6;"PLCO";418,704010038293
2015;7;"PLCO";NA
2016;7;"PLCO";42,8424012218121
2017;7;"PLCO";NA
2018;7;"PLCO";NA
2019;7;"PLCO";131,568009635947
2020;7;"PLCO";660,210454951192
2021;7;"PLCO";418,704010038293
2015;8;"PLCO";153,274704919504
2016;8;"PLCO";42,8424012218121
2017;8;"PLCO";NA
2018;8;"PLCO";NA
2019;8;"PLCO";131,568009635947
2020;8;"PLCO";660,210454951192
2021;8;"PLCO";418,704010038293
2015;9;"PLCO";NA
2016;9;"PLCO";42,8424012218121
2017;9;"PLCO";NA
2018;9;"PLCO";NA
2019;9;"PLCO";131,568009635947
2020;9;"PLCO";660,210454951192
2021;9;"PLCO";418,704010038293
2015;1;"POMA";901,616479212071
2016;1;"POMA";NA
2017;1;"POMA";171,488406326916
2018;1;"POMA";309,381312171689
2019;1;"POMA";822,727207846168
2020;1;"POMA";NA
2021;1;"POMA";NA
2015;2;"POMA";901,616479212071
2016;2;"POMA";NA
2017;2;"POMA";171,488406326916
2018;2;"POMA";309,381312171689
2019;2;"POMA";822,727207846168
2020;2;"POMA";NA
2021;2;"POMA";NA
2015;3;"POMA";901,616479212071
2016;3;"POMA";NA
2017;3;"POMA";171,488406326916
2018;3;"POMA";309,381312171689
2019;3;"POMA";822,727207846168
2020;3;"POMA";NA
2021;3;"POMA";NA
2015;4;"POMA";NA
2016;4;"POMA";NA
2017;4;"POMA";171,488406326916
2018;4;"POMA";309,381312171689
2019;4;"POMA";822,727207846168
2020;4;"POMA";NA
2021;4;"POMA";NA
2015;5;"POMA";NA
2016;5;"POMA";NA
2017;5;"POMA";171,488406326916
2018;5;"POMA";309,381312171689
2019;5;"POMA";822,727207846168
2020;5;"POMA";NA
2021;5;"POMA";276,178931761155
2015;6;"POMA";901,616479212071
2016;6;"POMA";NA
2017;6;"POMA";171,488406326916
2018;6;"POMA";309,381312171689
2019;6;"POMA";822,727207846168
2020;6;"POMA";NA
2021;6;"POMA";276,178931761155
2015;7;"POMA";901,616479212071
2016;7;"POMA";89,1557237787824
2017;7;"POMA";NA
2018;7;"POMA";NA
2019;7;"POMA";822,727207846168
2020;7;"POMA";994,045519724471
2021;7;"POMA";276,178931761155
2015;8;"POMA";901,616479212071
2016;8;"POMA";89,1557237787824
2017;8;"POMA";171,488406326916
2018;8;"POMA";NA
2019;8;"POMA";822,727207846168
2020;8;"POMA";994,045519724471
2021;8;"POMA";276,178931761155
2015;9;"POMA";NA
2016;9;"POMA";89,1557237787824
2017;9;"POMA";NA
2018;9;"POMA";NA
2019;9;"POMA";822,727207846168
2020;9;"POMA";NA
2021;9;"POMA";276,178931761155
2015;1;"POMO";349,305080951558
2016;1;"POMO";NA
2017;1;"POMO";NA
2018;1;"POMO";NA
2019;1;"POMO";NA
2020;1;"POMO";NA
2021;1;"POMO";NA
2015;2;"POMO";349,305080951558
2016;2;"POMO";NA
2017;2;"POMO";204,067288440525
2018;2;"POMO";NA
2019;2;"POMO";NA
2020;2;"POMO";NA
2021;2;"POMO";NA
2015;3;"POMO";349,305080951558
2016;3;"POMO";91,2139078703337
2017;3;"POMO";204,067288440525
2018;3;"POMO";NA
2019;3;"POMO";NA
2020;3;"POMO";NA
2021;3;"POMO";NA
2015;4;"POMO";NA
2016;4;"POMO";NA
2017;4;"POMO";204,067288440525
2018;4;"POMO";NA
2019;4;"POMO";NA
2020;4;"POMO";NA
2021;4;"POMO";NA
2015;5;"POMO";NA
2016;5;"POMO";NA
2017;5;"POMO";NA
2018;5;"POMO";NA
2019;5;"POMO";NA
