"year";"plot";"focal";"neighbour";"magnitude"
2020;1;"PLCO";"BEMA";-0,00781738042888328
2021;1;"PLCO";"BEMA";0,0101666199934548
2015;2;"PLCO";"BEMA";0,0263054198635676
2016;2;"PLCO";"BEMA";-0,00876773621938803
2017;2;"PLCO";"BEMA";NA
2018;2;"PLCO";"BEMA";NA
2019;2;"PLCO";"BEMA";NA
2020;2;"PLCO";"BEMA";-0,00781738042888328
2021;2;"PLCO";"BEMA";0,0101666199934548
2015;3;"PLCO";"BEMA";0,0263054198635676
2016;3;"PLCO";"BEMA";-0,00876773621938803
2017;3;"PLCO";"BEMA";NA
2018;3;"PLCO";"BEMA";NA
2019;3;"PLCO";"BEMA";NA
2020;3;"PLCO";"BEMA";NA
2021;3;"PLCO";"BEMA";NA
2015;4;"PLCO";"BEMA";NA
2016;4;"PLCO";"BEMA";-0,00876773621938803
2017;4;"PLCO";"BEMA";NA
2018;4;"PLCO";"BEMA";NA
2019;4;"PLCO";"BEMA";NA
2020;4;"PLCO";"BEMA";NA
2021;4;"PLCO";"BEMA";NA
2015;5;"PLCO";"BEMA";0,0263054198635676
2016;5;"PLCO";"BEMA";-0,00876773621938803
2017;5;"PLCO";"BEMA";NA
2018;5;"PLCO";"BEMA";NA
2019;5;"PLCO";"BEMA";NA
2020;5;"PLCO";"BEMA";NA
2021;5;"PLCO";"BEMA";NA
2015;6;"PLCO";"BEMA";0,0263054198635676
2016;6;"PLCO";"BEMA";-0,00876773621938803
2017;6;"PLCO";"BEMA";NA
2018;6;"PLCO";"BEMA";NA
2019;6;"PLCO";"BEMA";NA
2020;6;"PLCO";"BEMA";NA
2021;6;"PLCO";"BEMA";NA
2015;7;"PLCO";"BEMA";NA
2016;7;"PLCO";"BEMA";-0,00876773621938803
2017;7;"PLCO";"BEMA";NA
2018;7;"PLCO";"BEMA";NA
2019;7;"PLCO";"BEMA";NA
2020;7;"PLCO";"BEMA";-0,00781738042888328
2021;7;"PLCO";"BEMA";0,0101666199934548
2015;8;"PLCO";"BEMA";NA
2016;8;"PLCO";"BEMA";-0,00876773621938803
2017;8;"PLCO";"BEMA";NA
2018;8;"PLCO";"BEMA";NA
2019;8;"PLCO";"BEMA";NA
2020;8;"PLCO";"BEMA";-0,00781738042888328
2021;8;"PLCO";"BEMA";0,0101666199934548
2015;9;"PLCO";"BEMA";NA
2016;9;"PLCO";"BEMA";-0,00876773621938803
2017;9;"PLCO";"BEMA";NA
2018;9;"PLCO";"BEMA";NA
2019;9;"PLCO";"BEMA";NA
